מחלקה,סדר הדפסה,בי,מיקום,מקט,שם,משפחה
דגים,356,59,359,1009,חתיכות פילה הרינג מלוח מצונן עם תבלין200 ג',SANTA BREMOR דגים
דגים,357,53,353,1126,סלט איקרה ורודה 900 גרםNP ,NORD PORT דגים
דגים,358,52,352,1127,סלט איקרה עם פורל וסלמון מעושנים 900 גרםNP ,NORD PORT דגים
דגים,359,54,354,1125,סלט איקרה לבנה 900 גרםNP ,NORD PORT דגים
דג יבש,401,1,401,721,‬דג וובלה מיובש‭,דגיםKAZAHSTAN
דג יבש,402,2,402,717,‬דג לש 'מיובש‭,דגיםKAZAHSTAN
דג יבש,403,3,403,724,‬דג לש 'מעושן‭,דגיםKAZAHSTAN
דג יבש,404,4,404,719,‬דג סודאק מיובש‭,דגיםKAZAHSTAN
דג יבש,405,5,405,725,‬דג צ'חון מעושן‭,דגיםKAZAHSTAN
דג יבש,406,6,406,726,‬דג צ'חון מיובש‭,דגיםKAZAHSTAN
דג יבש,407,7,407,727,‬דג ז'אריך מיובש‭,דגיםKAZAHSTAN
דג יבש,408,8,408,728,‬דג ז'אריך מעושן‭,דגיםKAZAHSTAN
דג יבש,409,9,409,1112,‬שבבי דיונון בטעם סרטן מבושל,מיובש ומומלח90 ג(50)'‭,דגים פודסטוק
דג יבש,410,10,410,1113,‬שבבי קלמר מיובש ומומלח90 ג(50)'‭,דגים פודסטוק
דג יבש,411,11,411,1114,‬רצועות קלמר מיובש ומומלח בטעם סרטן90 ג(50)'‭,דגים פודסטוק
דג יבש,412,12,412,1115,‬רצועות קלמר מעושן מיובש ומומלח90 ג(50)'‭,דגים פודסטוק
דג יבש,413,13,413,1116,‬רצועות קלמר מיובש ומומלח עם פלפל צ'ילי90 ג(50)'‭,דגים פודסטוק
דג יבש,414,14,414,1117,‬פרוסות דג שיבוט אלבין מיובש ומומלח100 ג(50)'‭,דגים פודסטוק
דג יבש,415,15,415,1118,‬פרוסות דג שיבוט אלבין מיובש עם צ'ילי100 ג(50)'‭,דגים פודסטוק
דג יבש,416,16,416,1119,‬פרוסות דג שיבוט אלבין מיובש ומומלח ללא עור90 ג(50)'‭,דגים פודסטוק
דג יבש,417,19,419,245,דג צ'חון מיובשRUSSIA ,דגיםRUSSIA
דג יבש,418,20,420,246,דג ז'אריך מיובשRUSSIA ,דגיםRUSSIA
דג יבש,419,21,421,247,דג לש" 'טושקה "מיובשRUSSIA ,דגיםRUSSIA
דג יבש,420,22,422,1105,‬ (287)BAR CHILIדג ברקודה צ'ילי מלוח100 ג(52)'חום‭,דגים פודסטוק
דג יבש,421,23,423,1102,‬ 256)IMPERATOR)דג צנינית צהובה פסים מלוח100 ג(52)'תכלת‭,דגים פודסטוק
דג יבש,422,24,424,1104,‬ 270)BARAKUDA)דג ברקודה  מיובש100 ג(52)'כתום‭,דגים פודסטוק
דג יבש,423,25,425,1101,‬ 232)POLOSATIK)דג צנינון הכתם מיובש100 ג(52)'סגול‭,דגים פודסטוק
דג יבש,424,26,426,1100,‬ 218)BALICHOK)דג צנינון הכתם מיובש100 ג(52)'אפור‭,דגים פודסטוק
דג יבש,425,27,427,714,‬ 305)ANCHOVY)דג עפינית זוטר מיובש ומומלח120 ג(52)'‭,דגים פודסטוק
דג יבש,426,28,428,704,דג צנינית צהובה פסים מלוח100 IMPERATOR ג',דגים פודסטוק
דג יבש,427,29,429,701,‬דג ברקודה מלוח מיובש100 (199)ג(52)'‭,דגים פודסטוק
דג יבש,428,30,430,713,‬דג ברקודה עם צ'ילי מלוח מיובש100 (727)ג(52)'‭,דגים פודסטוק
דג יבש,429,31,431,712,‬דג צנינון הכתם מלוח מיובש100 (697)ג(52)'‭,דגים פודסטוק
דג יבש,430,32,432,711,‬דג צנינון הכתם מלוח מיובש100 (734)ג(52)'‭,דגים פודסטוק
דג יבש,431,33,433,237,רצועות פילה דג לש 'מיובש100 RUSSIA ג',דגיםRUSSIA
דג יבש,432,34,434,239,רצועות פילה דג סום מיובש100 RUSSIA ג',דגיםRUSSIA
דג יבש,433,35,435,240,דג קרסנופיורקה מיובשRUSSIA ,דגיםRUSSIA
דג יבש,434,36,436,241,דג לש 'מיובשRUSSIA ,דגיםRUSSIA
דג יבש,435,37,437,242,דג וובלה מיובשRUSSIA ,דגיםRUSSIA
דג יבש,436,38,438,1099,‬דג צלופח מטוגן עם צ'ילי מלוח מיובש80 (991)ג(52)'‭,דגים פודסטוק
דג יבש,437,44,444,722,דג פילה סום מעושן,דגיםKAZAHSTAN
דג יבש,438,45,445,238,רצועות פילה דג ש'יוקה מיובש100 RUSSIA ג',דגיםRUSSIA
דג יבש,439,46,446,1098,דג צלופח מטוגן מלוח מיובש80ג',דגים פודסטוק
דג יבש,440,47,447,244,דג ש'יוקה מיובשRUSSIA ,דגיםRUSSIA
דג יבש,441,48,448,243,דג סודאק מיובשRUSSIA ,דגיםRUSSIA
דג יבש,442,49,449,720,דג זאב מים מיובש,דגיםKAZAHSTAN
דג יבש,443,50,450,1103, TARANOCHKAדג אופירית מלוח מיובש100 ג'אדום,דגים פודסטוק
דג יבש,444,51,451,715,SHRIMPSחסילונים מיובשים ומומלחים80 ג',דגים פודסטוק
דג יבש,445,52,452,716, SHRIMPS CHILLIחסילונים מיובשים ומומלחים עם צ'ילי80 ג,דגים פודסטוק
